title,genre,premiere_date,network
Bosch,Detective fiction,13-Feb-15,Amazon
Hand of God,Psychological thriller,4-Sep-15,Amazon
The Man in the High Castle,Alternative history,20-Nov-15,Amazon
Mad Dogs,Drama,22-Jan-16,Amazon
Goliath,Legal drama,14-Oct-16,Amazon
Good Girls Revolt,Historical period drama,28-Oct-16,Amazon
Sneaky Pete,Crime drama,13-Jan-17,Amazon
Z: The Beginning of Everything,Historical period drama,27-Jan-17,Amazon
Patriot,Crime drama,24-Feb-17,Amazon
The Last Tycoon,Historical period drama,28-Jul-17,Amazon
Lore,Anthology horror,13-Oct-17,Amazon
Tom Clancy's Jack Ryan,Political thriller,31-Aug-18,Amazon
The Romanoffs,Anthology,12-Oct-18,Amazon
Homecoming,Psychological thriller,2-Nov-18,Amazon
Hanna,Action,29-Mar-19,Amazon
Too Old to Die Young,Crime drama,14-Jun-19,Amazon
The Boys,Superhero,26-Jul-19,Amazon
Carnival Row,Fantasy,30-Aug-19,Amazon
Annedroids,Children,9-Jan-13,Amazon
Creative Galaxy,Animation,2-Oct-13,Amazon
Tumble Leaf,Stop motion,6-Feb-14,Amazon
Gortimer Gibbon's Life on Normal Street,Teen sitcom,19-Apr-14,Amazon
Wishenpoof!,Animation,6-Feb-15,Amazon
Just Add Magic,Fantasy,15-Jan-15,Amazon
The Kicks,Teen sitcom,26-Aug-16,Amazon
The Stinky & Dirty Show,Animation,2-Sep-16,Amazon
Danger & Eggs,Animation,30-Jun-17,Amazon
Niko and the Sword of Light,Animation,21-Jul-17,Amazon
Lost In Oz,Animation,4-Aug-17,Amazon
Sigmund and the Sea Monsters,Fantasy,13-Oct-17,Amazon
If You Give a Mouse a Cookie,Animation,7-Nov-17,Amazon
Little Big Awesome,Animation,27-Apr-18,Amazon
The Adventures of Rocky and Bullwinkle,Animation,11-May-18,Amazon
Pete the Cat,Animation,21-Sep-18,Amazon
Kung Fu Panda: The Paws of Destiny,Animation,16-Nov-18,Amazon
Costume Quest,Animation,8-Mar-19,Amazon
The Bug Diaries,Animation,12-Apr-19,Amazon
Undone,Adult animation/Comedy-drama,13-Sep-19,Amazon
Blade of the Immortal,Anime,10-Oct-19,Amazon
The New Yorker Presents,Documentary,16-Feb-16,Amazon
All or Nothing: A Season with the Arizona Cardinals,Sports documentary,1-Jul-16,Amazon
Eat the World with Emeril Lagasse,Culinary art,1-Sep-16,Amazon
The Grand Tour,Motoring,18-Nov-16,Amazon
American Playboy: The Hugh Hefner Story,Docudrama,6-Apr-17,Amazon
Long Strange Trip,Documentary,2-Jun-17,Amazon
Le Mans: Racing is Everything,Sports documentary,9-Jun-17,Amazon
All or Nothing: A Season with the Los Angeles Rams,Sports documentary,30-Jun-17,Amazon
All or Nothing: The Michigan Wolverines,Sports documentary,7-Apr-18,Amazon
All or Nothing: The Dallas Cowboys,Sports documentary,27-Apr-18,Amazon
All or Nothing: New Zealand All Blacks,Sports documentary,1-Jun-18,Amazon
Eat. Race. Win.,Sports documentary,27-Jul-18,Amazon
All or Nothing: Manchester City,Sports documentary,17-Aug-18,Amazon
The Gymkhana Files,Sports documentary,16-Nov-18,Amazon
Inside Jokes,Comedian documentary,30-Nov-18,Amazon
Lorena,Docuseries,15-Feb-19,Amazon
This Giant Beast That is the Global Economy,Docuseries,22-Feb-19,Amazon
All or Nothing: The Carolina Panthers,Sports documentary,19-Jul-19,Amazon
This Is Football,Sports documentary,2-Aug-19,Amazon
Free Meek,Docuseries,9-Aug-19,Amazon
Inside Borussia Dortmund,Sports documentary,16-Aug-19,Amazon
Take Us Home: Leeds United,Sports documentary,16-Aug-19,Amazon
El Corazón de Sergio Ramos,Sports documentary,13-Sep-19,Amazon
House of Cards,Political drama,1-Feb-13,Netflix
Hemlock Grove,Horror/thriller,19-Apr-13,Netflix
Orange Is the New Black,Comedy-drama,11-Jul-13,Netflix
Marco Polo,Historical drama,12-Dec-14,Netflix
Bloodline,Thriller,20-Mar-15,Netflix
Sense8,Science fiction,5-Jun-15,Netflix
Narcos,Crime drama,28-Aug-15,Netflix
Stranger Things,Science fiction/horror,15-Jul-16,Netflix
The Get Down,Musical drama,12-Aug-16,Netflix
The Crown,Historical drama,4-Nov-16,Netflix
Gilmore Girls: A Year in the Life,Family drama,25-Nov-16,Netflix
The OA,Mystery,16-Dec-16,Netflix
A Series of Unfortunate Events,Black-comedy mystery,13-Jan-17,Netflix
13 Reasons Why,Teen drama/mystery,31-Mar-17,Netflix
Gypsy,Psychological thriller,30-Jun-17,Netflix
Ozark,Crime drama,21-Jul-17,Netflix
Mindhunter,Crime drama,13-Oct-17,Netflix
Godless,Western,22-Nov-17,Netflix
Altered Carbon,Science fiction,2-Feb-18,Netflix
Seven Seconds,Crime drama,23-Feb-18,Netflix
Lost in Space,Science fiction,13-Apr-18,Netflix
The Innocents,Supernatural fiction,24-Aug-18,Netflix
The Haunting,Horror anthology,12-Oct-18,Netflix
Chilling Adventures of Sabrina,Supernatural coming-of-age horror,26-Oct-18,Netflix
Narcos: Mexico,Crime drama,16-Nov-18,Netflix
Tidelands,Supernatural crime drama,14-Dec-18,Netflix
The Umbrella Academy,Superhero action,15-Feb-19,Netflix
The Order,Supernatural horror drama,7-Mar-19,Netflix
Shadow,Thriller,8-Mar-19,Netflix
Black Summer,Zombie drama,11-Apr-19,Netflix
Chambers,Teen psychological thriller,26-Apr-19,Netflix
The Society,Mystery drama,10-May-19,Netflix
What/If,Social thriller anthology,24-May-19,Netflix
When They See Us,Drama,31-May-19,Netflix
Trinkets,Coming-of-age drama,14-Jun-19,Netflix
Another Life,Science-fiction,25-Jul-19,Netflix
Wu Assassins,Supernatural martial arts drama,8-Aug-19,Netflix
The Dark Crystal: Age of Resistance,Fantasy,30-Aug-19,Netflix
The I-Land,Science fiction thriller,12-Sep-19,Netflix
Unbelievable,Drama,13-Sep-19,Netflix
Criminal: UK,Police procedural anthology series,20-Sep-19,Netflix
Raising Dion,Science-fiction drama,4-Oct-19,Netflix
Daredevil,Crime drama/legal drama,10-Apr-15,Netflix
Jessica Jones,Neo-noir/psychological thriller,20-Nov-15,Netflix
